HOAF_EDA_Resp0002.vhdr,1098.706,1822.256,2128.2796,2706.8296,3034.8736,3758.4236
HOAF_T04__EDA_Resp0002.vhdr,1108.9818,1832.529,2096.9466,2617.4946,2943.914,3667.461
HOAF_01.vhdr,1261.3976,1984.9446,2222.343,2742.8908,3077.9946,3801.5416
HOAF_02.vhdr,1073.0352,1796.5824,2032.0306,2552.5784,2854.1622,3577.7092
HOAF_03.vhdr,1099.2034,1822.7506,2072.5336,2593.0814,2898.2656,3621.8126
HOAF_04.vhdr,961.3774,1684.9244,1892.0698,2412.6176,2694.583,3418.13
HOAF_05.vhdr,1065.19,1788.7372,2046.7376,2567.2854,2842.1666,3565.7136
HOAF_09.vhdr,773.0514,1496.6014,1695.797,2216.347,2469.0272,3192.5772
HOAF_11.vhdr,1172.3928,1895.9428,2130.4258,2650.9758,2967.0626,3690.6126
HOAF_12.vhdr,1124.143,1847.693,2040.1882,2560.7382,2874.4084,3597.9584
HOAF_13.vhdr,1092.3838,1815.9338,2031.1648,2551.7148,3158.3484,3881.8984
HOAF_14.vhdr,1131.0316,1854.5816,2041.5762,2562.1262,2884.8974,3608.4474
HOAF_15.vhdr,1104.1136,1827.6636,2027.5262,2548.0762,2848.445,3571.995
HOAF_16.vhdr,1366.5738,2090.1238,2324.4066,2844.9566,3195.8806,3919.4306
HOAF_17.vhdr,1090.3768,1813.9268,2016.723,2537.273,2847.343,3570.893
HOAF_19.vhdr,1336.3236,2059.8736,2262.72,2783.27,3136.2608,3859.8108
HOAF_20.vhdr,1119.4254,1842.9754,2024.5196,2545.0696,2832.437,3555.987
HOAF_21.vhdr,1160.4924,1884.0424,2089.6888,2610.2388,2890.0054,3613.5554
HOAF_22.vhdr,1212.7706,1936.3206,2110.4806,2631.0306,2895.379,3618.929
HOAF_23.vhdr,1020.0732,1743.6232,1965.4882,2486.0382,2790.274,3513.824
HOAF_24.vhdr,1330.8764,2054.4264,2258.106,2778.656,3036.7204,3760.2704
HOAF_25.vhdr,1241.5186,1965.0686,2213.2864,2733.8364,3080.6266,3804.1766
HOAF_26.vhdr,1321.1064,2044.6564,2244.9858,2765.5358,3097.7246,3821.2746
HOAF_27.vhdr,1234.798,1958.348,2178.0466,2698.5966,3000.3988,3723.9488
HOAF_28.vhdr,1309.3614,2032.9114,2250.7096,2771.2596,3096.948,3820.498
HOAF_29.vhdr,1195.9162,1919.4662,2248.1926,2768.7426,3214.9102,3938.4602
